EC Numbers,Occurrence
4.2.1.149,9
4.2.1.148,2
1.1.1.67,1
2.7.8.35,1
3.1.1.2,1
3.1.1.3,6
1.1.1.60,1
3.4.23.-,1
5.5.1.1,1
3.2.1.10,1
3.1.1.-,16
6.3.1.13,1
3.2.1.17,2
3.4.13.-,1
1.11.1.21,1
3.5.1.82,3
3.5.1.81,1
3.5.4.32,2
3.1.3.25,2
1.3.1.-,3
3.5.1.88,1
4.1.2.25,1
2.5.1.68,1
3.4.21.-,3
2.5.1.61,1
4.1.2.27,2
2.7.7.41,1
1.3.1.9,1
2.1.2.-,1
4.2.3.152,1
1.8.5.-,2
2.7.4.8,1
1.1.1.328,1
4.1.2.20,1
2.3.1.1,1
2.7.1.48,1
5.4.99.18,1
2.1.2.9,2
5.4.99.12,1
2.7.1.40,1
2.1.2.1,2
2.1.2.2,1
6.2.1.5,2
1.18.1.-,1
6.2.1.1,4
6.2.1.3,39
4.1.99.3,1
2.4.2.46,1
4.1.1.32,1
3.1.1.45,2
2.4.2.45,1
4.1.1.37,1
3.1.3.48,6
6.2.1.-,6
1.18.1.5,1
1.18.1.3,1
1.18.1.2,7
1.13.11.16,1
1.2.1.83,1
5.4.99.15,1
1.13.11.11,1
4.6.1.1,4
3.7.1.22,1
2.8.3.6,2
1.14.13.195,1
2.3.1.174,5
3.4.21.92,4
2.8.3.-,3
1.10.9.1,1
1.13.11.79,1
1.1.98.3,2
1.1.98.2,5
1.1.1.292,2
2.1.1.34,1
3.1.1.1,12
2.8.2.37,1
2.1.1.37,2
1.1.1.298,1
1.2.4.4,4
1.17.5.2,2
2.1.2.10,2
1.2.4.1,2
1.14.11.17,3
1.5.1.24,1
1.1.98.-,3
1.5.1.20,1
3.6.1.-,8
3.2.1.8,3
3.2.1.21,2
4.2.1.-,1
6.3.2.-,1
6.3.2.2,6
6.3.2.1,1
4.2.1.2,2
4.2.1.3,1
6.3.2.4,1
4.2.1.1,4
6.3.2.8,1
6.3.2.9,2
4.2.1.9,2
6.3.4.4,2
3.5.3.12,1
1.20.4.1,1
2.4.1.57,5
6.1.1.20,2
6.3.4.2,1
4.99.1.1,1
1.1.-.-,1
6.1.1.21,1
2.7.1.188,1
4.99.1.7,1
4.1.1.77,1
1.1.1.202,1
3.2.2.28,1
1.7.1.15,1
3.2.2.27,1
4.2.99.18,1
3.2.2.20,1
3.2.2.23,1
2.5.1.30,1
2.3.1.89,1
2.1.1.144,2
3.6.3.54,1
3.5.1.42,1
3.2.1.52,1
2.7.10.2,2
3.6.1.40,2
2.4.-.-,3
3.4.24.75,1
2.6.1.59,1
2.1.1.297,5
1.4.1.4,1
1.17.1.-,1
4.1.3.39,2
3.2.1.-,1
4.2.1.79,1
1.12.99.6,2
2.3.1.39,1
4.2.1.113,3
1.1.99.28,2
2.3.1.31,1
2.3.1.30,1
3.1.3.71,1
1.1.1.18,2
3.1.3.73,1
1.1.1.-,27
1.1.1.14,4
1.16.1.9,2
1.1.1.1,14
1.1.1.2,1
2.7.1.165,1
1.16.1.1,1
4.2.3.4,1
4.2.3.5,1
3.1.1.81,1
3.2.1.23,1
3.5.4.33,3
3.1.1.85,1
4.2.-.-,1
3.2.1.28,3
3.1.1.88,4
1.8.-.-,1
1.3.8.12,1
5.99.1.2,1
5.99.1.3,3
1.2.1.10,2
2.5.1.104,1
3.5.1.54,1
2.3.2.3,3
