RunName.reactor,SampleTimeID,RunName,Reactor,CatalystID,origin,support,catalyst,ActualTempBlock,reactorPressure,ratioCat2support,ratioPromTot2cat,p1,p2,p3,p4,p5,p6,p7,mass,CatalystBedLength,reductionTemp,meanConvCorrected,sdConvCorrected,ArgonArea,H2flow110,N2flow120,Arflow130,COflow140,CO2H2flow150,flow160,flow170,flow180,diluentN2flow300,ElapsedRunTime
20150213_OAN_FLOW_017#7#450#10,40247,20150213_OAN_FLOW_017,7,OAN-FIS00002,FIS,S2,C1,449.980011,9.93999958,2,0.9,0,1,0,0,0,0,0,0.0162,1.2,85.02,0.288535758,0.0094843,1961564.5,90.0049998,30.03833326,19.99666659,0,0,0,0,0,640.0050049,61.67789523
20150213_OAN_FLOW_017#9#450#10,40489,20150213_OAN_FLOW_017,9,OAN-KNP00114,KNP,S3,C1,450.019989,10.60000038,9,0.4,0,0,0,0,0,1,0,0.0129,1.4,85.02,0.444076235,0.006969418,1887116.5,90.0049998,30.09833304,20.01666641,0,0,0,0,0,640.030009,61.83450572
20150213_OAN_FLOW_017#10#450#10,40250,20150213_OAN_FLOW_017,10,OAN-DFK00369,DFK,S3,C2,449.9899902,10.53999996,10,0.1,0.5,0,0.5,0,0,0,0,0.0091,0.8,85.02,0,0,1966678.833,89.98000081,29.9416666,19.99000009,0,0,0,0,0,639.9899902,61.91281128
20150213_OAN_FLOW_017#11#450#10,40251,20150213_OAN_FLOW_017,11,OAN-KNP00113,KNP,S3,C1,450,10.46000004,9,0.7,0,0,0,1,0,0,0,0.0063,1.2,85.02,0,0,2038624.167,89.9950002,30.15333335,19.74333318,0,0,0,0,0,640.0250143,61.99111621
20150213_OAN_FLOW_017#12#450#10,40444,20150213_OAN_FLOW_017,12,OAN-KNP00167,KNP,S1,C1,450.0100098,10.27999973,9,0.7,0,0,0,1,0,0,0,0.0057,0.9,85.02,0.194038612,0.024560259,1976644.5,90.00999959,30.02666664,19.84666666,0,0,0,0,0,639.9950053,62.06942113
20150213_OAN_FLOW_017#13#450#10,40493,20150213_OAN_FLOW_017,13,OAN-KNP00175,KNP,S1,C1,450,10.47999954,10,0.3162,0,1,0,0,0,0,0,0.0082,0.7,85.02,0.548688796,0.012942425,2147891,90.00999959,29.98499998,20.14833355,0,0,0,0,0,640,62.14772543
20150213_OAN_FLOW_017#14#450#10,40446,20150213_OAN_FLOW_017,14,OAN-KNP00166,KNP,S1,C1,450.0100098,10.27999973,8.2336,0.633,0,0,0,0,0,0,1,0.0095,1.6,85.02,0.361172603,0.025325445,2023492.6,89.97600098,30.16800041,20.08399963,0,0,0,0,0,640.0059937,60.30390396
20150213_OAN_FLOW_017#15#450#10,40447,20150213_OAN_FLOW_017,15,OAN-KNP00161,KNP,S1,C1,450.0100098,10.48999977,8.2336,0.633,0,1,0,0,0,0,0,0.015,0.4,85.02,0.377984391,0.005492973,1985471.4,89.99400024,29.93999977,20.0340004,0,0,0,0,0,640.023999,60.38220902
20150213_OAN_FLOW_017#16#450#10,40256,20150213_OAN_FLOW_017,16,OAN-DFK00414,DFK,S1,C2,449.9899902,10.38000011,6,0.3162,1,0,0,0,0,0,0,0.0059,0.9,85.02,0,0,2028141.2,90.01799927,30.20599975,20.14600029,0,0,0,0,0,640,60.46051178
20150213_OAN_FLOW_017#17#450#10,40257,20150213_OAN_FLOW_017,17,OAN-KNP00148,KNP,S4,C1,450.019989,10.43000031,10,0.3162,0,1,0,0,0,0,0,0.0063,1.3,85.02,0.799006232,0.050202564,2068499.4,89.98200073,30.12599983,20.07799988,0,0,0,0,0,640.036023,60.5388176
