reactorPressure,catalyst,support,mass,ratioCat2support,RunName.reactor,ElapsedRunTime,ActualTempBlock,RunName,CatalystID,ratioPromTot2cat,origin,ArgonArea,p1,N2flow120,p2,,,,,flow180,diluentN2flow300,,,,,,,,,,,,,,,,
10.03999996,C2,S1,0.0158,9,20150129_OAN_FLOW_016#32#350#10,48.44033432,349.9899902,20150129_OAN_FLOW_016,OAN-DFK00429,0.4,DFK,2137179,0,30.08800011,0,,,,,0,639.9939941,,,,,,,,,,,,,,,,
10.31999969,C2,S3,0.0093,9,20150129_OAN_FLOW_016#33#350#10,48.51863938,350,20150129_OAN_FLOW_016,OAN-DFK00389,0.4,DFK,2085388,0,29.97399978,0,,,,,0,640.0240112,,,,,,,,,,,,,,,,
10.39000034,C2,S1,0.0072,10,20150129_OAN_FLOW_016#34#350#10,48.5969429,349.9700012,20150129_OAN_FLOW_016,OAN-DFK00411,0.1,DFK,2008417.8,0.5,30.03799972,0,,,,,0,639.976001,,,,,,,,,,,,,,,,
10.21000004,C1,S1,0.0189,8.2336,20150129_OAN_FLOW_016#35#350#10,48.67524567,350,20150129_OAN_FLOW_016,OAN-KNP00162,0.633,KNP,1946627.8,0,29.92000008,0,,,,,0,639.9880005,,,,,,,,,,,,,,,,
10.32999992,C1,S4,0.0112,10,20150129_OAN_FLOW_016#36#350#10,49.71461678,349.9899902,20150129_OAN_FLOW_016,OAN-KNP00150,1,KNP,1979453,0.3333,30.03250027,0.3333,,,,,0,639.969986,,,,,,,,,,,,,,,,
10.10000038,C2,S3,0.0426,9,20150129_OAN_FLOW_016#37#350#10,48.83185653,350.0100098,20150129_OAN_FLOW_016,OAN-DFK00386,0.7,DFK,2085896.4,0,29.90599976,0,,,,,0,639.9740112,,,,,,,,,,,,,,,,
10.14999962,C2,S3,0.0104,5,20150129_OAN_FLOW_016#38#350#10,48.91016083,349.9700012,20150129_OAN_FLOW_016,OAN-DFK00393,0.7,DFK,2071766.4,0,30.09600029,0,,,,,0,639.9940063,,,,,,,,,,,,,,,,
10.27999973,C2,S1,0.0103,5,20150129_OAN_FLOW_016#39#350#10,48.98846588,350.0499878,20150129_OAN_FLOW_016,OAN-DFK00431,0.7,DFK,2054186,0,30.06800003,0,,,,,0,640.0120239,,,,,,,,,,,,,,,,
10.22999954,C1,S3,0.0133,10,20150129_OAN_FLOW_016#40#350#10,49.06676941,350,20150129_OAN_FLOW_016,OAN-KNP00122,0.1,KNP,2000443.4,0.5,30.03600006,0.5,,,,,0,639.9819946,,,,,,,,,,,,,,,,
10.14000034,C1,S3,0.0192,5,20150129_OAN_FLOW_016#41#350#10,49.1450737,349.9700012,20150129_OAN_FLOW_016,OAN-KNP00105,0.4,KNP,2050805.6,0.5,29.98600006,0,,,,,0,639.9939941,,,,,,,,,,,,,,,,
